Producto,Descripción,Partida / Lote,Certificado,Observaciones
AC0140-DN16HDPE,CAÑO HDPE PN16 DN 140 X 6MT,,,
AC0140-PN160527,CODO 45° HDPE PN16 DN140 EF,,,
AC0140-PN16HDPE,CODO 90° HDPE PN16 DN140 EF,,,
AC0150-23S10316,"CAÑO S/C 11/2"" SCH 10 A312 316",,,
AC0150-23S40316,"CAÑO S/C 11/2"" SCH 40 A312 316",,,
AC0150-23S70106,"CAÑO S/C 1 1/2"" SCH 160 ASTM A106 GR B",,,
AC0150-23S80193,"CAÑO S/C 1 1/2"" SCH 80 NPT A106 ZINC",,,
AC0150-23S90106,"CAÑO S/C 1 1/2"" SCH XXS ASTM A106 GR B",,,
AC0150-4I445527,"CODO LR 45° 1 1/2"" SCH 40 WPB A234",,,
AC0150-4I490527,"CODO LR 90° 1 1/2"" SCH 40 WPB A234",,,
AC0150-4I845527,"CODO LR 45° 1 1/2"" SCH 80 WPB A234",,,
AC0150-4I890527,"CODO LR 90° 1 1/2"" SCH 80 WPB A234",,,
AC0150-4K240527,"TEE TOT 1 1/2"" SCH 40 WPB A234",,,
AC0150-4K280527,"TEE TOT 1 1/2"" SCH 80 WPB A234",,,
AC0150-800CPVC,"CAÑO CPVC 11/2"" SCH80 ASTM 1784 F441",,,
AC0150-94040527,"CASQUETE 1 1/2"" SCH 40 WPB A234",,,
AC0150BCI1R305,"BRIDA 1,5"" BCI #150 RF A105",,,
AC0150BCI2R305,"BRIDA 1,5"" BCI #300 RF A105",,,
AC0150BCI2R334,"BRIDA 1,5"" BCI #300 RF 304",,,
AC0150BCI3R305,"BRIDA 1,5"" BCI #600 RF A105",,,
AC0150BCI4J305,"BRIDA 1,5"" BCI #900/1500 RTJ A105",,,
AC0150BRO1R322,"BRIDA ROSCADA 1,5"" BRO #150 RF GALV",,,
AC0150BSO1R305,"BRIDA 1,5"" BSO #150 RF A105",,,
AC0150BSO2R305,"BRIDA 1,5"" BSO #300 RF A105",,,
AC0150BSW1R505,"BRIDA 1,5"" BSW #150 RF SCH80 A105",,,
AC0150BSW1R516,"BRIDA 1,5"" BSW #150 RF SCH80 316",,,
AC0150BSW2R505,"BRIDA 1,5"" BSW #300 RF SCH80 A105",,,
AC0150BSW2R705,"BRIDA 1,5"" BSW #300 RF SCH160 A105",,,
AC0150BSW3R505,"BRIDA 1,5"" BSW #600 RF SCH80 A105",,,
AC0150BSW3R705,"BRIDA 1,5"" BSW #600 RF SCH160 A105",,,
AC0150BSW5J505,"BRIDA 1,5"" BSW #900/1500 RTJ SCH80 A105",,,
AC0150BSW5J705,"BRIDA 1,5"" BSW #900/1500 RTJ SCH160 A105",,,
AC0150BSW5R505,"BRIDA 1,5"" BSW #900/1500 RF SCH80 A105",,,
AC0150BSW5R705,"BRIDA 1,5"" BSW #900/1500 RF SCH160 A105",,,
AC0150BWN1R305,"BRIDA 1,5"" BWN #150 RF SCH40 A105",,,
AC0150BWN1R505,"BRIDA 1,5"" BWN #150 RF SCH80 A105",,,
AC0150BWN1R705,"BRIDA 1,5"" BWN #150 RF SCH160 A105",,,
AC0150BWN2R305,"BRIDA 1,5"" BWN #300 RF SCH40 A105",,,
